kW;día;hora;temperatura;año;mes;estacion;tipo_dia
40,704;6;23;22,4;2019;4;otoño;no habil
37,344;7;0;21,05;2019;4;otoño;no habil
34,944;7;1;20,25;2019;4;otoño;no habil
32,88;7;2;20,3;2019;4;otoño;no habil
29,76;7;3;18,7;2019;4;otoño;no habil
27,792;7;4;16,9;2019;4;otoño;no habil
28,224;7;5;17,35;2019;4;otoño;no habil
27,024;7;6;16,4;2019;4;otoño;no habil
25,968;7;7;15,9;2019;4;otoño;no habil
18,192;7;8;15,8;2019;4;otoño;no habil
22,416;7;9;16,95;2019;4;otoño;no habil
22,368;7;10;20;2019;4;otoño;no habil
25,536;7;11;22,35;2019;4;otoño;no habil
28,8;7;12;24,3;2019;4;otoño;no habil
28,368;7;13;26;2019;4;otoño;no habil
27,312;7;14;27,3;2019;4;otoño;no habil
;7;15;28,6;2019;4;otoño;no habil
38,688;7;16;29,25;2019;4;otoño;no habil
36,912;7;17;29,5;2019;4;otoño;no habil
36;7;18;29,25;2019;4;otoño;no habil
44,64;7;19;28,4;2019;4;otoño;no habil
48,288;7;20;26,75;2019;4;otoño;no habil
45,792;7;21;25,45;2019;4;otoño;no habil
43,248;7;22;25,2;2019;4;otoño;no habil
40,512;7;23;23,8;2019;4;otoño;no habil
37,632;8;0;22,45;2019;4;otoño;habil
34,032;8;1;21,25;2019;4;otoño;habil
31,152;8;2;20,2;2019;4;otoño;habil
28,08;8;3;19,15;2019;4;otoño;habil
;8;4;18,5;2019;4;otoño;habil
28,32;8;5;17,5;2019;4;otoño;habil
31,632;8;6;16,75;2019;4;otoño;habil
33,84;8;7;16,2;2019;4;otoño;habil
20,4;8;8;15,9;2019;4;otoño;habil
21,312;8;9;17,85;2019;4;otoño;habil
22,032;8;10;19,2;2019;4;otoño;habil
22,656;8;11;20,8;2019;4;otoño;habil
24,48;8;12;23,4;2019;4;otoño;habil
28,608;8;13;24,95;2019;4;otoño;habil
28,512;8;14;26,6;2019;4;otoño;habil
24,72;8;15;27,6;2019;4;otoño;habil
25,872;8;16;28,3;2019;4;otoño;habil
28,512;8;17;28,65;2019;4;otoño;habil
31,728;8;18;28,7;2019;4;otoño;habil
41,664;8;19;28,25;2019;4;otoño;habil
42,864;8;20;26,55;2019;4;otoño;habil
43,632;8;21;25,45;2019;4;otoño;habil
44,016;8;22;24,2;2019;4;otoño;habil
43,872;8;23;22,95;2019;4;otoño;habil
39,84;9;0;22;2019;4;otoño;habil
33,504;9;1;20,8;2019;4;otoño;habil
31,2;9;2;19,7;2019;4;otoño;habil
28,992;9;3;18,95;2019;4;otoño;habil
28,944;9;4;17,9;2019;4;otoño;habil
28,752;9;5;17,25;2019;4;otoño;habil
;9;6;16,85;2019;4;otoño;habil
31,344;9;7;16,4;2019;4;otoño;habil
18,144;9;8;15,6;2019;4;otoño;habil
;9;9;16,2;2019;4;otoño;habil
22,656;9;10;18,1;2019;4;otoño;habil
26,688;9;11;20,45;2019;4;otoño;habil
;9;12;21,6;2019;4;otoño;habil
23,088;9;13;23,05;2019;4;otoño;habil
23,76;9;14;24,45;2019;4;otoño;habil
21,12;9;15;25,6;2019;4;otoño;habil
27,456;9;16;26,45;2019;4;otoño;habil
28,08;9;17;26,8;2019;4;otoño;habil
26,976;9;18;26,9;2019;4;otoño;habil
39,696;9;19;26,45;2019;4;otoño;habil
43,92;9;20;25,7;2019;4;otoño;habil
45,216;9;21;24,6;2019;4;otoño;habil
45,312;9;22;23,7;2019;4;otoño;habil
41,76;9;23;23;2019;4;otoño;habil
41,76;10;0;22,7;2019;4;otoño;habil
35,616;10;1;22,4;2019;4;otoño;habil
30;10;2;21,2;2019;4;otoño;habil
27,984;10;3;21,05;2019;4;otoño;habil
27,504;10;4;21,1;2019;4;otoño;habil
27,792;10;5;20;2019;4;otoño;habil
32,88;10;6;18,95;2019;4;otoño;habil
31,344;10;7;17,35;2019;4;otoño;habil
22,416;10;8;16,95;2019;4;otoño;habil
;10;9;18,25;2019;4;otoño;habil
;10;10;19,5;2019;4;otoño;habil
25,824;10;11;20,95;2019;4;otoño;habil
24,96;10;12;22,6;2019;4;otoño;habil
23,664;10;13;23,4;2019;4;otoño;habil
22,896;10;14;24,2;2019;4;otoño;habil
;10;15;24,6;2019;4;otoño;habil
24,96;10;16;25,15;2019;4;otoño;habil
24,24;10;17;25,55;2019;4;otoño;habil
26,736;10;18;25,6;2019;4;otoño;habil
39,504;10;19;25,15;2019;4;otoño;habil
;10;20;23,9;2019;4;otoño;habil
43,728;10;21;22,9;2019;4;otoño;habil
43,776;10;22;22,1;2019;4;otoño;habil
42,864;10;23;22;2019;4;otoño;habil
41,376;11;0;22;2019;4;otoño;habil
35,664;11;1;21,65;2019;4;otoño;habil
29,952;11;2;20,8;2019;4;otoño;habil
28,752;11;3;20,2;2019;4;otoño;habil
27,264;11;4;19,9;2019;4;otoño;habil
27,888;11;5;18,2;2019;4;otoño;habil
34,176;11;6;15,55;2019;4;otoño;habil
31,392;11;7;14,5;2019;4;otoño;habil
22,56;11;8;14,1;2019;4;otoño;habil
;11;9;14,35;2019;4;otoño;habil
23,136;11;10;15,75;2019;4;otoño;habil
;11;11;17,6;2019;4;otoño;habil
24,768;11;12;19,25;2019;4;otoño;habil
26,112;11;13;20,95;2019;4;otoño;habil
24,672;11;14;22,8;2019;4;otoño;habil
24,624;11;15;24,15;2019;4;otoño;habil
23,04;11;16;25,1;2019;4;otoño;habil
25,344;11;17;25,9;2019;4;otoño;habil
;11;18;26;2019;4;otoño;habil
;11;19;25,35;2019;4;otoño;habil
40,992;11;20;24,2;2019;4;otoño;habil
43,296;11;21;23,05;2019;4;otoño;habil
44,4;11;22;22,4;2019;4;otoño;habil
41,664;11;23;21,9;2019;4;otoño;habil
37,2;12;0;20,65;2019;4;otoño;habil
33,552;12;1;20,55;2019;4;otoño;habil
30,144;12;2;19,25;2019;4;otoño;habil
27,84;12;3;19,2;2019;4;otoño;habil
27,312;12;4;19;2019;4;otoño;habil
28,704;12;5;19,2;2019;4;otoño;habil
30,72;12;6;18,7;2019;4;otoño;habil
29,808;12;7;18,35;2019;4;otoño;habil
20,592;12;8;17,75;2019;4;otoño;habil
21,504;12;9;16,65;2019;4;otoño;habil
20,64;12;10;18,9;2019;4;otoño;habil
23,136;12;11;22,35;2019;4;otoño;habil
24,48;12;12;23,7;2019;4;otoño;habil
24,288;12;13;25,3;2019;4;otoño;habil
25,584;12;14;27;2019;4;otoño;habil
23,904;12;15;27,65;2019;4;otoño;habil
23,808;12;16;28,4;2019;4;otoño;habil
26,976;12;17;28,7;2019;4;otoño;habil
31,584;12;18;28,7;2019;4;otoño;habil
41,472;12;19;28,1;2019;4;otoño;habil
40,848;12;20;26,45;2019;4;otoño;habil
42,72;12;21;25;2019;4;otoño;habil
43,536;12;22;23,7;2019;4;otoño;habil
43,344;12;23;22,95;2019;4;otoño;habil
38,304;13;0;21,7;2019;4;otoño;no habil
34,368;13;1;21,1;2019;4;otoño;no habil
31,104;13;2;20,8;2019;4;otoño;no habil
28,56;13;3;19,8;2019;4;otoño;no habil
27,6;13;4;18,45;2019;4;otoño;no habil
27,744;13;5;17,75;2019;4;otoño;no habil
28,368;13;6;17,5;2019;4;otoño;no habil
27,6;13;7;17,1;2019;4;otoño;no habil
18,912;13;8;16,45;2019;4;otoño;no habil
;13;9;16,95;2019;4;otoño;no habil
25,104;13;10;18,05;2019;4;otoño;no habil
25,824;13;11;19,2;2019;4;otoño;no habil
26,976;13;12;21,3;2019;4;otoño;no habil
30,576;13;13;22,7;2019;4;otoño;no habil
32,064;13;14;24;2019;4;otoño;no habil
28,896;13;15;25,05;2019;4;otoño;no habil
30,528;13;16;25,8;2019;4;otoño;no habil
30,24;13;17;26,3;2019;4;otoño;no habil
29,28;13;18;26,35;2019;4;otoño;no habil
44,4;13;19;25,95;2019;4;otoño;no habil
41,856;13;20;24,9;2019;4;otoño;no habil
43,824;13;21;23,75;2019;4;otoño;no habil
44,784;13;22;23,05;2019;4;otoño;no habil
40,32;13;23;22,6;2019;4;otoño;no habil
37,44;14;0;21,85;2019;4;otoño;no habil
32,976;14;1;21,8;2019;4;otoño;no habil
28,944;14;2;21,5;2019;4;otoño;no habil
27,936;14;3;20,75;2019;4;otoño;no habil
27,36;14;4;18,8;2019;4;otoño;no habil
26,784;14;5;17,85;2019;4;otoño;no habil
27,072;14;6;18,5;2019;4;otoño;no habil
27,936;14;7;17,35;2019;4;otoño;no habil
18,624;14;8;15,8;2019;4;otoño;no habil
20,496;14;9;16,95;2019;4;otoño;no habil
24,048;14;10;18,45;2019;4;otoño;no habil
24;14;11;19,7;2019;4;otoño;no habil
28,416;14;12;20,8;2019;4;otoño;no habil
29,664;14;13;22,25;2019;4;otoño;no habil
29,328;14;14;23,35;2019;4;otoño;no habil
28,08;14;15;24,3;2019;4;otoño;no habil
27,744;14;16;24,85;2019;4;otoño;no habil
27,552;14;17;25,25;2019;4;otoño;no habil
28,272;14;18;25,35;2019;4;otoño;no habil
40,896;14;19;24,8;2019;4;otoño;no habil
43,536;14;20;24;2019;4;otoño;no habil
45,408;14;21;23,45;2019;4;otoño;no habil
41,376;14;22;23;2019;4;otoño;no habil
40,32;14;23;21,95;2019;4;otoño;no habil
41,184;15;0;21,6;2019;4;otoño;habil
33,072;15;1;21;2019;4;otoño;habil
;15;2;20,45;2019;4;otoño;habil
28,656;15;3;19,2;2019;4;otoño;habil
28,176;15;4;18,1;2019;4;otoño;habil
29,664;15;5;17,1;2019;4;otoño;habil
33,648;15;6;16,45;2019;4;otoño;habil
33,36;15;7;16,8;2019;4;otoño;habil
22,8;15;8;16,95;2019;4;otoño;habil
21,84;15;9;16,8;2019;4;otoño;habil
24,432;15;10;17,05;2019;4;otoño;habil
24,432;15;11;18,2;2019;4;otoño;habil
24,72;15;12;19,55;2019;4;otoño;habil
25,104;15;13;20,65;2019;4;otoño;habil
22,272;15;14;21,7;2019;4;otoño;habil
21,648;15;15;22,1;2019;4;otoño;habil
23,904;15;16;22,65;2019;4;otoño;habil
;15;17;22,9;2019;4;otoño;habil
26,112;15;18;22,9;2019;4;otoño;habil
;15;19;22,3;2019;4;otoño;habil
41,568;15;20;21,3;2019;4;otoño;habil
46,368;15;21;20,55;2019;4;otoño;habil
44,544;15;22;20,1;2019;4;otoño;habil
43,584;15;23;19,9;2019;4;otoño;habil
38,256;16;0;19,15;2019;4;otoño;habil
31,44;16;1;18,55;2019;4;otoño;habil
27,024;16;2;17,9;2019;4;otoño;habil
26,64;16;3;17,15;2019;4;otoño;habil
26,16;16;4;16,45;2019;4;otoño;habil
28,128;16;5;15,85;2019;4;otoño;habil
30,96;16;6;15,65;2019;4;otoño;habil
;16;7;15,3;2019;4;otoño;habil
19,104;16;8;14,9;2019;4;otoño;habil
20,112;16;9;16;2019;4;otoño;habil
21,552;16;10;16,8;2019;4;otoño;habil
;16;11;17,9;2019;4;otoño;habil
24;16;12;20,05;2019;4;otoño;habil
24,72;16;13;22,4;2019;4;otoño;habil
25,008;16;14;24,7;2019;4;otoño;habil
22,224;16;15;26,2;2019;4;otoño;habil
25,344;16;16;27;2019;4;otoño;habil
27,408;16;17;27,2;2019;4;otoño;habil
28,32;16;18;26,6;2019;4;otoño;habil
39,168;16;19;25,55;2019;4;otoño;habil
;16;20;24,55;2019;4;otoño;habil
45,264;16;21;23,65;2019;4;otoño;habil
;16;22;23;2019;4;otoño;habil
41,328;16;23;21,75;2019;4;otoño;habil
37,872;17;0;20,35;2019;4;otoño;habil
30,576;17;1;19,65;2019;4;otoño;habil
28,416;17;2;18,9;2019;4;otoño;habil
27,552;17;3;17,85;2019;4;otoño;habil
26,976;17;4;16,35;2019;4;otoño;habil
27,168;17;5;16,05;2019;4;otoño;habil
33,744;17;6;15,4;2019;4;otoño;habil
34,512;17;7;15;2019;4;otoño;habil
20,88;17;8;14,6;2019;4;otoño;habil
22,176;17;9;14,9;2019;4;otoño;habil
25,2;17;10;16,35;2019;4;otoño;habil
25,152;17;11;18,25;2019;4;otoño;habil
24,144;17;12;20,05;2019;4;otoño;habil
;17;13;21,7;2019;4;otoño;habil
25,392;17;14;23,25;2019;4;otoño;habil
22,944;17;15;24,5;2019;4;otoño;habil
23,136;17;16;25,5;2019;4;otoño;habil
27,888;17;17;25,95;2019;4;otoño;habil
29,808;17;18;26,05;2019;4;otoño;habil
39,024;17;19;25,5;2019;4;otoño;habil
40,992;17;20;24,4;2019;4;otoño;habil
45,312;17;21;23,3;2019;4;otoño;habil
45,168;17;22;22,45;2019;4;otoño;habil
41,76;17;23;21,2;2019;4;otoño;habil
35,76;18;0;19,8;2019;4;otoño;no habil
31,92;18;1;19,45;2019;4;otoño;no habil
28,512;18;2;18,85;2019;4;otoño;no habil
27,792;18;3;18,25;2019;4;otoño;no habil
27,024;18;4;17,15;2019;4;otoño;no habil
27,168;18;5;15,85;2019;4;otoño;no habil
27,408;18;6;15,35;2019;4;otoño;no habil
27,264;18;7;15,15;2019;4;otoño;no habil
18,72;18;8;14,65;2019;4;otoño;no habil
23,136;18;9;14,85;2019;4;otoño;no habil
;18;10;15,55;2019;4;otoño;no habil
25,824;18;11;17,35;2019;4;otoño;no habil
28,704;18;12;19,35;2019;4;otoño;no habil
31,2;18;13;21,1;2019;4;otoño;no habil
29,52;18;14;22,75;2019;4;otoño;no habil
28,272;18;15;23,75;2019;4;otoño;no habil
28,656;18;16;24,4;2019;4;otoño;no habil
32,928;18;17;24,8;2019;4;otoño;no habil
28,272;18;18;24,7;2019;4;otoño;no habil
42,192;18;19;24,25;2019;4;otoño;no habil
42,528;18;20;23,6;2019;4;otoño;no habil
40,128;18;21;23,1;2019;4;otoño;no habil
40,752;18;22;22,55;2019;4;otoño;no habil
38,592;18;23;22;2019;4;otoño;no habil
36,96;19;0;21,4;2019;4;otoño;no habil
32,88;19;1;20,45;2019;4;otoño;no habil
28,992;19;2;19,7;2019;4;otoño;no habil
28,176;19;3;19,85;2019;4;otoño;no habil
27,84;19;4;19,7;2019;4;otoño;no habil
27,936;19;5;19,35;2019;4;otoño;no habil
26,688;19;6;18,35;2019;4;otoño;no habil
27,744;19;7;16,75;2019;4;otoño;no habil
17,472;19;8;16,3;2019;4;otoño;no habil
18,864;19;9;16,95;2019;4;otoño;no habil
21,6;19;10;18,5;2019;4;otoño;no habil
24,336;19;11;19,75;2019;4;otoño;no habil
25,104;19;12;21,55;2019;4;otoño;no habil
27,312;19;13;22,95;2019;4;otoño;no habil
24,336;19;14;23,95;2019;4;otoño;no habil
26,976;19;15;24,9;2019;4;otoño;no habil
25,392;19;16;25,45;2019;4;otoño;no habil
27,648;19;17;25,7;2019;4;otoño;no habil
27,552;19;18;25,6;2019;4;otoño;no habil
42,096;19;19;24,8;2019;4;otoño;no habil
40,464;19;20;24,15;2019;4;otoño;no habil
40,896;19;21;23,85;2019;4;otoño;no habil
43,488;19;22;23,65;2019;4;otoño;no habil
42,192;19;23;23,35;2019;4;otoño;no habil
39,504;20;0;22,35;2019;4;otoño;no habil
37,68;20;1;21,5;2019;4;otoño;no habil
31,44;20;2;21,15;2019;4;otoño;no habil
28,608;20;3;21,55;2019;4;otoño;no habil
28,32;20;4;21,85;2019;4;otoño;no habil
28,512;20;5;21,7;2019;4;otoño;no habil
28,752;20;6;20,8;2019;4;otoño;no habil
29,904;20;7;19,05;2019;4;otoño;no habil
21,552;20;8;18,3;2019;4;otoño;no habil
21,648;20;9;18,35;2019;4;otoño;no habil
24,96;20;10;19,9;2019;4;otoño;no habil
;20;11;21,2;2019;4;otoño;no habil
27,36;20;12;21,1;2019;4;otoño;no habil
28,56;20;13;22,35;2019;4;otoño;no habil
27,648;20;14;23,2;2019;4;otoño;no habil
25,44;20;15;24;2019;4;otoño;no habil
28,992;20;16;24,35;2019;4;otoño;no habil
28,656;20;17;24,05;2019;4;otoño;no habil
27,12;20;18;23,25;2019;4;otoño;no habil
42,816;20;19;22,55;2019;4;otoño;no habil
42,384;20;20;21,75;2019;4;otoño;no habil
42,288;20;21;21,2;2019;4;otoño;no habil
43,728;20;22;21;2019;4;otoño;no habil
39,984;20;23;20,7;2019;4;otoño;no habil
37,68;21;0;20,1;2019;4;otoño;no habil
32,928;21;1;19,45;2019;4;otoño;no habil
29,376;21;2;18,9;2019;4;otoño;no habil
28,608;21;3;18,45;2019;4;otoño;no habil
28,368;21;4;17,85;2019;4;otoño;no habil
28,032;21;5;17,5;2019;4;otoño;no habil
26,784;21;6;17,1;2019;4;otoño;no habil
27,696;21;7;16,4;2019;4;otoño;no habil
18,144;21;8;15,9;2019;4;otoño;no habil
19,536;21;9;15,8;2019;4;otoño;no habil
21,648;21;10;16,05;2019;4;otoño;no habil
25,296;21;11;16,7;2019;4;otoño;no habil
25,488;21;12;17,6;2019;4;otoño;no habil
23,184;21;13;18,95;2019;4;otoño;no habil
21,264;21;14;20,25;2019;4;otoño;no habil
20,64;21;15;21,3;2019;4;otoño;no habil
23,712;21;16;21,1;2019;4;otoño;no habil
24,96;21;17;20,6;2019;4;otoño;no habil
30,336;21;18;20,45;2019;4;otoño;no habil
38,496;21;19;20,1;2019;4;otoño;no habil
42,288;21;20;19,15;2019;4;otoño;no habil
41,088;21;21;18,55;2019;4;otoño;no habil
;21;22;17,7;2019;4;otoño;no habil
37,872;21;23;17,6;2019;4;otoño;no habil
33,12;22;0;17,6;2019;4;otoño;habil
29,664;22;1;17,25;2019;4;otoño;habil
27,456;22;2;16,45;2019;4;otoño;habil
26,448;22;3;15,45;2019;4;otoño;habil
25,008;22;4;14,9;2019;4;otoño;habil
27,6;22;5;14,25;2019;4;otoño;habil
30,864;22;6;13,85;2019;4;otoño;habil
31,44;22;7;13,35;2019;4;otoño;habil
;22;8;12,75;2019;4;otoño;habil
20,448;22;9;12,2;2019;4;otoño;habil
24,144;22;10;12,35;2019;4;otoño;habil
25,104;22;11;12,9;2019;4;otoño;habil
23,712;22;12;13,7;2019;4;otoño;habil
23,28;22;13;14,5;2019;4;otoño;habil
22,128;22;14;14,9;2019;4;otoño;habil
20,688;22;15;16,05;2019;4;otoño;habil
20,832;22;16;17;2019;4;otoño;habil
22,656;22;17;17,15;2019;4;otoño;habil
24,912;22;18;16,75;2019;4;otoño;habil
37,488;22;19;15,9;2019;4;otoño;habil
38,448;22;20;15,05;2019;4;otoño;habil
38,88;22;21;14,5;2019;4;otoño;habil
41,136;22;22;14,3;2019;4;otoño;habil
39,072;22;23;14;2019;4;otoño;habil
39,792;23;0;13,85;2019;4;otoño;habil
28,848;23;1;13,45;2019;4;otoño;habil
25,872;23;2;13,2;2019;4;otoño;habil
24,768;23;3;13,15;2019;4;otoño;habil
24,528;23;4;12,7;2019;4;otoño;habil
;23;5;12,35;2019;4;otoño;habil
26,832;23;6;12,1;2019;4;otoño;habil
28,992;23;7;11,7;2019;4;otoño;habil
20,592;23;8;11,6;2019;4;otoño;habil
19,248;23;9;11,55;2019;4;otoño;habil
20,688;23;10;12,3;2019;4;otoño;habil
23,76;23;11;13,35;2019;4;otoño;habil
27,024;23;12;14,8;2019;4;otoño;habil
29,472;23;13;15,8;2019;4;otoño;habil
26,064;23;14;16,95;2019;4;otoño;habil
25,152;23;15;18,05;2019;4;otoño;habil
21,84;23;16;18,45;2019;4;otoño;habil
24,336;23;17;18,55;2019;4;otoño;habil
25,344;23;18;18,35;2019;4;otoño;habil
37,392;23;19;17,85;2019;4;otoño;habil
38,832;23;20;17,3;2019;4;otoño;habil
41,232;23;21;16,85;2019;4;otoño;habil
42,048;23;22;16,55;2019;4;otoño;habil
41,424;23;23;16,2;2019;4;otoño;habil
38,256;24;0;15,65;2019;4;otoño;habil
29,712;24;1;15,4;2019;4;otoño;habil
26,256;24;2;14,7;2019;4;otoño;habil
25,536;24;3;14,05;2019;4;otoño;habil
24,336;24;4;13,5;2019;4;otoño;habil
24,048;24;5;13,4;2019;4;otoño;habil
31,776;24;6;12,95;2019;4;otoño;habil
33,888;24;7;13,35;2019;4;otoño;habil
20,112;24;8;13,05;2019;4;otoño;habil
20,112;24;9;12,95;2019;4;otoño;habil
22,56;24;10;13,55;2019;4;otoño;habil
23,472;24;11;14,3;2019;4;otoño;habil
21,312;24;12;15,25;2019;4;otoño;habil
21,792;24;13;16,6;2019;4;otoño;habil
21,744;24;14;17,9;2019;4;otoño;habil
20,64;24;15;18,55;2019;4;otoño;habil
20,928;24;16;18,65;2019;4;otoño;habil
22,8;24;17;18,6;2019;4;otoño;habil
23,424;24;18;17,95;2019;4;otoño;habil
37,296;24;19;17,15;2019;4;otoño;habil
39,216;24;20;16,45;2019;4;otoño;habil
41,568;24;21;15,7;2019;4;otoño;habil
43,104;24;22;15,3;2019;4;otoño;habil
41,712;24;23;15;2019;4;otoño;habil
37,872;25;0;14,65;2019;4;otoño;habil
31,392;25;1;14,3;2019;4;otoño;habil
26,88;25;2;14,05;2019;4;otoño;habil
25,488;25;3;13,75;2019;4;otoño;habil
25,92;25;4;13,75;2019;4;otoño;habil
26,64;25;5;13,3;2019;4;otoño;habil
33,216;25;6;13;2019;4;otoño;habil
34,56;25;7;13,05;2019;4;otoño;habil
27,264;25;8;13,15;2019;4;otoño;habil
23,76;25;9;13,2;2019;4;otoño;habil
23,856;25;10;13,1;2019;4;otoño;habil
28,56;25;11;12,85;2019;4;otoño;habil
27,456;25;12;12,85;2019;4;otoño;habil
27,504;25;13;13,2;2019;4;otoño;habil
24,816;25;14;14,05;2019;4;otoño;habil
23,664;25;15;15,1;2019;4;otoño;habil
24,336;25;16;16;2019;4;otoño;habil
23,376;25;17;16,55;2019;4;otoño;habil
;25;18;16,7;2019;4;otoño;habil
38,592;25;19;16,1;2019;4;otoño;habil
42,24;25;20;15,35;2019;4;otoño;habil
45,264;25;21;15,2;2019;4;otoño;habil
43,968;25;22;15;2019;4;otoño;habil
;25;23;14,15;2019;4;otoño;habil
36,528;26;0;13,65;2019;4;otoño;habil
30,768;26;1;13,2;2019;4;otoño;habil
28,464;26;2;13,2;2019;4;otoño;habil
25,824;26;3;13;2019;4;otoño;habil
25,2;26;4;12,85;2019;4;otoño;habil
26,208;26;5;12,65;2019;4;otoño;habil
31,68;26;6;12,4;2019;4;otoño;habil
33,072;26;7;12,4;2019;4;otoño;habil
26,784;26;8;12,3;2019;4;otoño;habil
23,424;26;9;12,35;2019;4;otoño;habil
32,688;26;10;12,55;2019;4;otoño;habil
30,864;26;11;12,85;2019;4;otoño;habil
27,12;26;12;13,2;2019;4;otoño;habil
27,504;26;13;13,8;2019;4;otoño;habil
24,576;26;14;14,45;2019;4;otoño;habil
21,984;26;15;15,1;2019;4;otoño;habil
22,272;26;16;16;2019;4;otoño;habil
23,328;26;17;16,65;2019;4;otoño;habil
28,944;26;18;16,95;2019;4;otoño;habil
35,232;26;19;16,5;2019;4;otoño;habil
36,864;26;20;15,5;2019;4;otoño;habil
40,56;26;21;14,75;2019;4;otoño;habil
40,512;26;22;14,15;2019;4;otoño;habil
42,336;26;23;13,75;2019;4;otoño;habil
42,144;27;0;13,35;2019;4;otoño;no habil
34,8;27;1;12,8;2019;4;otoño;no habil
33,024;27;2;12,5;2019;4;otoño;no habil
29,76;27;3;12,25;2019;4;otoño;no habil
28,704;27;4;11,6;2019;4;otoño;no habil
27,504;27;5;11,55;2019;4;otoño;no habil
26,88;27;6;11,7;2019;4;otoño;no habil
28,224;27;7;11,95;2019;4;otoño;no habil
21,936;27;8;11,45;2019;4;otoño;no habil
24,72;27;9;11,55;2019;4;otoño;no habil
23,904;27;10;13,75;2019;4;otoño;no habil
27,456;27;11;15,6;2019;4;otoño;no habil
30,624;27;12;17,1;2019;4;otoño;no habil
33,6;27;13;18,35;2019;4;otoño;no habil
32,4;27;14;19,5;2019;4;otoño;no habil
25,2;27;15;20,55;2019;4;otoño;no habil
29,712;27;16;21,4;2019;4;otoño;no habil
27,792;27;17;22,2;2019;4;otoño;no habil
30,528;27;18;22,05;2019;4;otoño;no habil
;27;19;21,15;2019;4;otoño;no habil
42,768;27;20;19,9;2019;4;otoño;no habil
41,712;27;21;18,6;2019;4;otoño;no habil
40,272;27;22;18,15;2019;4;otoño;no habil
38,736;27;23;17,75;2019;4;otoño;no habil
35,712;28;0;17,45;2019;4;otoño;no habil
30,72;28;1;16,65;2019;4;otoño;no habil
30,24;28;2;14,7;2019;4;otoño;no habil
27,312;28;3;14,45;2019;4;otoño;no habil
25,296;28;4;14,55;2019;4;otoño;no habil
;28;5;13,6;2019;4;otoño;no habil
25,584;28;6;12,9;2019;4;otoño;no habil
27,696;28;7;13,1;2019;4;otoño;no habil
17,088;28;8;13,3;2019;4;otoño;no habil
19,488;28;9;13,7;2019;4;otoño;no habil
24,864;28;10;16,4;2019;4;otoño;no habil
31,632;28;11;17,9;2019;4;otoño;no habil
31,344;28;12;19,2;2019;4;otoño;no habil
25,728;28;13;20,65;2019;4;otoño;no habil
24,096;28;14;21,9;2019;4;otoño;no habil
22,608;28;15;23,2;2019;4;otoño;no habil
;28;16;24,2;2019;4;otoño;no habil
21,696;28;17;24,65;2019;4;otoño;no habil
24,48;28;18;24,5;2019;4;otoño;no habil
38,832;28;19;23,35;2019;4;otoño;no habil
40,224;28;20;21,95;2019;4;otoño;no habil
42,816;28;21;21,3;2019;4;otoño;no habil
42,576;28;22;20,3;2019;4;otoño;no habil
39,072;28;23;18,85;2019;4;otoño;no habil
35,568;29;0;18,1;2019;4;otoño;habil
30,192;29;1;17,7;2019;4;otoño;habil
26,256;29;2;16,95;2019;4;otoño;habil
25,344;29;3;15,95;2019;4;otoño;habil
24,768;29;4;15;2019;4;otoño;habil
26,112;29;5;14,35;2019;4;otoño;habil
31,824;29;6;13,8;2019;4;otoño;habil
34,08;29;7;13,85;2019;4;otoño;habil
18,384;29;8;13,85;2019;4;otoño;habil
21,936;29;9;12,65;2019;4;otoño;habil
;29;10;14,75;2019;4;otoño;habil
25,968;29;11;17,05;2019;4;otoño;habil
27,552;29;12;18,75;2019;4;otoño;habil
26,256;29;13;18,75;2019;4;otoño;habil
21,648;29;14;20;2019;4;otoño;habil
20,304;29;15;20,05;2019;4;otoño;habil
22,512;29;16;19;2019;4;otoño;habil
22,944;29;17;18,7;2019;4;otoño;habil
28,512;29;18;18,7;2019;4;otoño;habil
;29;19;17,95;2019;4;otoño;habil
40,992;29;20;17,4;2019;4;otoño;habil
;29;21;16,7;2019;4;otoño;habil
42,048;29;22;16,65;2019;4;otoño;habil
41,328;29;23;16,25;2019;4;otoño;habil
39,744;30;0;16,15;2019;4;otoño;habil
30,768;30;1;16,15;2019;4;otoño;habil
28,992;30;2;16,1;2019;4;otoño;habil
27,696;30;3;15,35;2019;4;otoño;habil
28,08;30;4;14,85;2019;4;otoño;habil
26,064;30;5;14,6;2019;4;otoño;habil
30,624;30;6;14,6;2019;4;otoño;habil
31,824;30;7;14,15;2019;4;otoño;habil
28,08;30;8;13,95;2019;4;otoño;habil
22,224;30;9;13,9;2019;4;otoño;habil
25,2;30;10;14,15;2019;4;otoño;habil
29,76;30;11;14,3;2019;4;otoño;habil
28,416;30;12;14,8;2019;4;otoño;habil
26,832;30;13;15,85;2019;4;otoño;habil
27,12;30;14;17;2019;4;otoño;habil
25,152;30;15;17,95;2019;4;otoño;habil
24,384;30;16;18,5;2019;4;otoño;habil
24,528;30;17;19,35;2019;4;otoño;habil
27,792;30;18;19,1;2019;4;otoño;habil
37,296;30;19;18,35;2019;4;otoño;habil
39,648;30;20;17,95;2019;4;otoño;habil
39,648;30;21;16,6;2019;4;otoño;habil
40,032;30;22;15,8;2019;4;otoño;habil
39,936;30;23;15,1;2019;4;otoño;habil
35,184;1;0;14,9;2019;5;otoño;no habil
34,032;1;1;14,65;2019;5;otoño;no habil
30;1;2;14,5;2019;5;otoño;no habil
