kW;día;hora;temperatura;año;mes;estacion;tipo_dia
31,056;6;16;22,35;2019;1;verano;no habil
32,016;6;17;23,5;2019;1;verano;no habil
32,256;6;18;22,9;2019;1;verano;no habil
30,144;6;19;22,35;2019;1;verano;no habil
36,528;6;20;21,8;2019;1;verano;no habil
39,408;6;21;22,25;2019;1;verano;no habil
39,12;6;22;22,85;2019;1;verano;no habil
39,12;6;23;24,65;2019;1;verano;no habil
42,144;7;0;25,25;2019;1;verano;habil
39,312;7;1;23,4;2019;1;verano;habil
37,392;7;2;22;2019;1;verano;habil
38,448;7;3;21,6;2019;1;verano;habil
;7;4;22,05;2019;1;verano;habil
36,144;7;5;20,1;2019;1;verano;habil
35,088;7;6;19,05;2019;1;verano;habil
26,208;7;7;18,45;2019;1;verano;habil
24,048;7;8;19,3;2019;1;verano;habil
26,592;7;9;22,2;2019;1;verano;habil
28,8;7;10;24,35;2019;1;verano;habil
36,912;7;11;25,45;2019;1;verano;habil
46,752;7;12;26,85;2019;1;verano;habil
;7;13;27,95;2019;1;verano;habil
67,104;7;14;29,2;2019;1;verano;habil
76,8;7;15;30,25;2019;1;verano;habil
85,2;7;16;30,95;2019;1;verano;habil
87,888;7;17;31,35;2019;1;verano;habil
76,848;7;18;30,5;2019;1;verano;habil
59,568;7;19;30,35;2019;1;verano;habil
50,448;7;20;30,75;2019;1;verano;habil
53,808;7;21;30,05;2019;1;verano;habil
;7;22;30,05;2019;1;verano;habil
62,736;7;23;30,85;2019;1;verano;habil
;8;0;30,35;2019;1;verano;habil
55,248;8;1;29,5;2019;1;verano;habil
52,464;8;2;28,85;2019;1;verano;habil
50,496;8;3;28,3;2019;1;verano;habil
49,44;8;4;27,6;2019;1;verano;habil
46,656;8;5;26,5;2019;1;verano;habil
45,408;8;6;26;2019;1;verano;habil
32,64;8;7;24,2;2019;1;verano;habil
29,28;8;8;20,35;2019;1;verano;habil
29,472;8;9;21,15;2019;1;verano;habil
28,944;8;10;22,65;2019;1;verano;habil
