kW;temperatura;año;mes;hora;día;estacion;tipo_dia
26,688;21,35;2019;1;15;6;verano;no habil
31,056;22,35;2019;1;16;6;verano;no habil
32,016;23,5;2019;1;17;6;verano;no habil
32,256;22,9;2019;1;18;6;verano;no habil
30,144;22,35;2019;1;19;6;verano;no habil
36,528;21,8;2019;1;20;6;verano;no habil
39,408;22,25;2019;1;21;6;verano;no habil
39,12;22,85;2019;1;22;6;verano;no habil
39,12;24,65;2019;1;23;6;verano;no habil
42,144;25,25;2019;1;0;7;verano;habil
39,312;23,4;2019;1;1;7;verano;habil
37,392;22;2019;1;2;7;verano;habil
38,448;21,6;2019;1;3;7;verano;habil
37,968;22,05;2019;1;4;7;verano;habil
36,144;20,1;2019;1;5;7;verano;habil
35,088;19,05;2019;1;6;7;verano;habil
26,208;18,45;2019;1;7;7;verano;habil
24,048;19,3;2019;1;8;7;verano;habil
26,592;22,2;2019;1;9;7;verano;habil
28,8;24,35;2019;1;10;7;verano;habil
36,912;25,45;2019;1;11;7;verano;habil
46,752;26,85;2019;1;12;7;verano;habil
59,184;27,95;2019;1;13;7;verano;habil
67,104;29,2;2019;1;14;7;verano;habil
76,8;30,25;2019;1;15;7;verano;habil
85,2;30,95;2019;1;16;7;verano;habil
87,888;31,35;2019;1;17;7;verano;habil
76,848;30,5;2019;1;18;7;verano;habil
59,568;30,35;2019;1;19;7;verano;habil
50,448;30,75;2019;1;20;7;verano;habil
53,808;30,05;2019;1;21;7;verano;habil
57,072;30,05;2019;1;22;7;verano;habil
62,736;30,85;2019;1;23;7;verano;habil
58,272;30,35;2019;1;0;8;verano;habil
55,248;29,5;2019;1;1;8;verano;habil
52,464;28,85;2019;1;2;8;verano;habil
50,496;28,3;2019;1;3;8;verano;habil
49,44;27,6;2019;1;4;8;verano;habil
46,656;26,5;2019;1;5;8;verano;habil
45,408;26;2019;1;6;8;verano;habil
32,64;24,2;2019;1;7;8;verano;habil
29,28;20,35;2019;1;8;8;verano;habil
29,472;21,15;2019;1;9;8;verano;habil
28,944;22,65;2019;1;10;8;verano;habil
39,456;24,05;2019;1;11;8;verano;habil
45,936;25,65;2019;1;12;8;verano;habil
63,648;27,3;2019;1;13;8;verano;habil
71,424;28,75;2019;1;14;8;verano;habil
83,712;30;2019;1;15;8;verano;habil
88,272;31,05;2019;1;16;8;verano;habil
88,608;31,85;2019;1;17;8;verano;habil
74,592;32,35;2019;1;18;8;verano;habil
73,104;32,6;2019;1;19;8;verano;habil
50,736;32,35;2019;1;20;8;verano;habil
52,944;31,05;2019;1;21;8;verano;habil
56,832;29,9;2019;1;22;8;verano;habil
63,888;29,25;2019;1;23;8;verano;habil
63,408;28,7;2019;1;0;9;verano;habil
62,064;26,85;2019;1;1;9;verano;habil
63,936;25;2019;1;2;9;verano;habil
61,2;23,5;2019;1;3;9;verano;habil
57,984;22,25;2019;1;4;9;verano;habil
54,912;21,35;2019;1;5;9;verano;habil
