kW;temperatura;año;mes;hora;día;estacion;tipo_dia
30,336;9,5;2019;6;10;22;invierno;no habil
30,672;8,6;2019;6;11;22;invierno;no habil
30,96;10,45;2019;6;12;22;invierno;no habil
31,632;12,65;2019;6;13;22;invierno;no habil
32,88;14,6;2019;6;14;22;invierno;no habil
31,344;16,05;2019;6;15;22;invierno;no habil
27,6;16,95;2019;6;16;22;invierno;no habil
28,272;17,25;2019;6;17;22;invierno;no habil
36;16,65;2019;6;18;22;invierno;no habil
45,696;15,3;2019;6;19;22;invierno;no habil
45,456;13,9;2019;6;20;22;invierno;no habil
49,584;13,5;2019;6;21;22;invierno;no habil
51,024;12,55;2019;6;22;22;invierno;no habil
51,792;12,7;2019;6;23;22;invierno;no habil
47,664;11,9;2019;6;0;23;invierno;no habil
39,696;10,1;2019;6;1;23;invierno;no habil
35,808;10,3;2019;6;2;23;invierno;no habil
34,512;10,35;2019;6;3;23;invierno;no habil
31,776;9,7;2019;6;4;23;invierno;no habil
30,864;10,55;2019;6;5;23;invierno;no habil
33,072;8,45;2019;6;6;23;invierno;no habil
31,968;8,25;2019;6;7;23;invierno;no habil
31,2;8,2;2019;6;8;23;invierno;no habil
22,8;7,9;2019;6;9;23;invierno;no habil
29,616;9,35;2019;6;10;23;invierno;no habil
32,208;10,4;2019;6;11;23;invierno;no habil
30,864;12,9;2019;6;12;23;invierno;no habil
32,544;14,15;2019;6;13;23;invierno;no habil
30,96;16,05;2019;6;14;23;invierno;no habil
27,12;17,35;2019;6;15;23;invierno;no habil
27,936;17,65;2019;6;16;23;invierno;no habil
25,776;17,8;2019;6;17;23;invierno;no habil
40,128;17,6;2019;6;18;23;invierno;no habil
44,784;16,5;2019;6;19;23;invierno;no habil
49,536;15,45;2019;6;20;23;invierno;no habil
52,176;14,65;2019;6;21;23;invierno;no habil
57,264;14,15;2019;6;22;23;invierno;no habil
59,616;14;2019;6;23;23;invierno;no habil
48,768;12;2019;6;0;24;invierno;habil
40,608;11,1;2019;6;1;24;invierno;habil
34,416;11,25;2019;6;2;24;invierno;habil
30,576;10,8;2019;6;3;24;invierno;habil
28,32;10,35;2019;6;4;24;invierno;habil
32,16;9,55;2019;6;5;24;invierno;habil
35,856;8;2019;6;6;24;invierno;habil
38,544;9;2019;6;7;24;invierno;habil
38,16;9,85;2019;6;8;24;invierno;habil
33,216;10,55;2019;6;9;24;invierno;habil
32,88;10,95;2019;6;10;24;invierno;habil
33,456;13,15;2019;6;11;24;invierno;habil
35,664;19,55;2019;6;12;24;invierno;habil
29,28;24,05;2019;6;13;24;invierno;habil
26,304;25,7;2019;6;14;24;invierno;habil
25,104;25,8;2019;6;15;24;invierno;habil
24,96;25,2;2019;6;16;24;invierno;habil
28,704;24,1;2019;6;17;24;invierno;habil
37,344;22,3;2019;6;18;24;invierno;habil
41,136;21,35;2019;6;19;24;invierno;habil
39,792;20,45;2019;6;20;24;invierno;habil
46,368;20,15;2019;6;21;24;invierno;habil
52,224;20,05;2019;6;22;24;invierno;habil
48,96;19,5;2019;6;23;24;invierno;habil
43,44;14,6;2019;6;0;25;invierno;habil
34,032;10,65;2019;6;1;25;invierno;habil
29,52;9,75;2019;6;2;25;invierno;habil
29,856;8,95;2019;6;3;25;invierno;habil
30,24;8,1;2019;6;4;25;invierno;habil
33,024;7,6;2019;6;5;25;invierno;habil
32,544;7,3;2019;6;6;25;invierno;habil
37,872;7,05;2019;6;7;25;invierno;habil
32,976;6,6;2019;6;8;25;invierno;habil
24,144;6,75;2019;6;9;25;invierno;habil
24,192;7,75;2019;6;10;25;invierno;habil
26,688;8,75;2019;6;11;25;invierno;habil
28,464;9,25;2019;6;12;25;invierno;habil
27,456;9,95;2019;6;13;25;invierno;habil
28,512;10,85;2019;6;14;25;invierno;habil
30,144;11,5;2019;6;15;25;invierno;habil
24,96;12,1;2019;6;16;25;invierno;habil
28,704;12,25;2019;6;17;25;invierno;habil
40,56;12,4;2019;6;18;25;invierno;habil
42,144;11,4;2019;6;19;25;invierno;habil
45,168;10,7;2019;6;20;25;invierno;habil
50,544;9,6;2019;6;21;25;invierno;habil
53,328;8,15;2019;6;22;25;invierno;habil
54,432;7,3;2019;6;23;25;invierno;habil
53,52;7;2019;6;0;26;invierno;habil
45,456;6,95;2019;6;1;26;invierno;habil
40,08;7,3;2019;6;2;26;invierno;habil
34,8;7,6;2019;6;3;26;invierno;habil
34,032;7,05;2019;6;4;26;invierno;habil
36,72;6,85;2019;6;5;26;invierno;habil
39,12;6,1;2019;6;6;26;invierno;habil
41,04;5,75;2019;6;7;26;invierno;habil
36,432;5,4;2019;6;8;26;invierno;habil
29,856;4,5;2019;6;9;26;invierno;habil
30,576;3,15;2019;6;10;26;invierno;habil
28,752;4,55;2019;6;11;26;invierno;habil
31,44;6,4;2019;6;12;26;invierno;habil
28,992;8,3;2019;6;13;26;invierno;habil
30,48;10,05;2019;6;14;26;invierno;habil
31,68;11,2;2019;6;15;26;invierno;habil
29,232;11,95;2019;6;16;26;invierno;habil
27,648;12,1;2019;6;17;26;invierno;habil
35,424;12,15;2019;6;18;26;invierno;habil
43,776;11,4;2019;6;19;26;invierno;habil
44,4;10,35;2019;6;20;26;invierno;habil
48,336;9,4;2019;6;21;26;invierno;habil
52,368;8,45;2019;6;22;26;invierno;habil
55,344;8,15;2019;6;23;26;invierno;habil
56,256;8,1;2019;6;0;27;invierno;habil
44,16;8,2;2019;6;1;27;invierno;habil
34,848;8,1;2019;6;2;27;invierno;habil
35,04;7,9;2019;6;3;27;invierno;habil
34,416;7;2019;6;4;27;invierno;habil
33,696;6,1;2019;6;5;27;invierno;habil
40,56;4,65;2019;6;6;27;invierno;habil
37,008;4,1;2019;6;7;27;invierno;habil
36,672;3,75;2019;6;8;27;invierno;habil
26,976;3,35;2019;6;9;27;invierno;habil
28,416;4,3;2019;6;10;27;invierno;habil
34,32;7;2019;6;11;27;invierno;habil
27,408;8,35;2019;6;12;27;invierno;habil
29,136;9,9;2019;6;13;27;invierno;habil
27,648;11,4;2019;6;14;27;invierno;habil
28,08;13,25;2019;6;15;27;invierno;habil
25,248;14,15;2019;6;16;27;invierno;habil
24,912;14,15;2019;6;17;27;invierno;habil
34,176;13,75;2019;6;18;27;invierno;habil
44,736;12,75;2019;6;19;27;invierno;habil
49,296;11,9;2019;6;20;27;invierno;habil
53,424;11,35;2019;6;21;27;invierno;habil
57,984;9,7;2019;6;22;27;invierno;habil
57,84;8,3;2019;6;23;27;invierno;habil
54,576;8,15;2019;6;0;28;invierno;habil
48,72;7,6;2019;6;1;28;invierno;habil
39,216;7;2019;6;2;28;invierno;habil
37,152;7,3;2019;6;3;28;invierno;habil
36,144;7,65;2019;6;4;28;invierno;habil
37,728;5,8;2019;6;5;28;invierno;habil
40,08;5,7;2019;6;6;28;invierno;habil
38,976;5,45;2019;6;7;28;invierno;habil
36,624;5,85;2019;6;8;28;invierno;habil
33,072;5,75;2019;6;9;28;invierno;habil
26,352;7,5;2019;6;10;28;invierno;habil
32,592;9,5;2019;6;11;28;invierno;habil
31,776;11,25;2019;6;12;28;invierno;habil
29,52;12,35;2019;6;13;28;invierno;habil
32,352;14,65;2019;6;14;28;invierno;habil
33,936;15,55;2019;6;15;28;invierno;habil
29,856;16;2019;6;16;28;invierno;habil
34,032;16,2;2019;6;17;28;invierno;habil
44,016;15,8;2019;6;18;28;invierno;habil
44,112;14,65;2019;6;19;28;invierno;habil
43,68;13,55;2019;6;20;28;invierno;habil
51,312;12,75;2019;6;21;28;invierno;habil
49,152;12,6;2019;6;22;28;invierno;habil
52,992;12,3;2019;6;23;28;invierno;habil
51,744;12,2;2019;6;0;29;invierno;no habil
41,568;12,25;2019;6;1;29;invierno;no habil
38,688;11,9;2019;6;2;29;invierno;no habil
36,48;10,2;2019;6;3;29;invierno;no habil
33,024;9,2;2019;6;4;29;invierno;no habil
33,6;8,8;2019;6;5;29;invierno;no habil
31,056;8,35;2019;6;6;29;invierno;no habil
32,784;6,9;2019;6;7;29;invierno;no habil
31,632;6,8;2019;6;8;29;invierno;no habil
28,032;6;2019;6;9;29;invierno;no habil
29,088;5,65;2019;6;10;29;invierno;no habil
33,984;5,8;2019;6;11;29;invierno;no habil
32,592;6,65;2019;6;12;29;invierno;no habil
37,44;8,3;2019;6;13;29;invierno;no habil
33,072;9,6;2019;6;14;29;invierno;no habil
32,448;11;2019;6;15;29;invierno;no habil
32,592;12,15;2019;6;16;29;invierno;no habil
36,24;13,15;2019;6;17;29;invierno;no habil
42;13,25;2019;6;18;29;invierno;no habil
51,168;12,3;2019;6;19;29;invierno;no habil
53,04;11,45;2019;6;20;29;invierno;no habil
57,216;10,15;2019;6;21;29;invierno;no habil
57,984;9,85;2019;6;22;29;invierno;no habil
57,168;9,85;2019;6;23;29;invierno;no habil
50,736;7,4;2019;6;0;30;invierno;no habil
43,968;6,6;2019;6;1;30;invierno;no habil
45,312;6,7;2019;6;2;30;invierno;no habil
41,616;7,5;2019;6;3;30;invierno;no habil
34,8;7,4;2019;6;4;30;invierno;no habil
34,08;5,35;2019;6;5;30;invierno;no habil
34,32;3,45;2019;6;6;30;invierno;no habil
35,664;3,65;2019;6;7;30;invierno;no habil
33,504;5;2019;6;8;30;invierno;no habil
32,256;5,35;2019;6;9;30;invierno;no habil
35,232;5,2;2019;6;10;30;invierno;no habil
36,816;5,85;2019;6;11;30;invierno;no habil
38,112;7,6;2019;6;12;30;invierno;no habil
37,392;9,3;2019;6;13;30;invierno;no habil
31,536;9,75;2019;6;14;30;invierno;no habil
35,472;9,9;2019;6;15;30;invierno;no habil
33,84;10,7;2019;6;16;30;invierno;no habil
33,84;10,9;2019;6;17;30;invierno;no habil
50,976;10,8;2019;6;18;30;invierno;no habil
58,416;10,25;2019;6;19;30;invierno;no habil
56,16;9,65;2019;6;20;30;invierno;no habil
56,208;9,35;2019;6;21;30;invierno;no habil
61,632;9,3;2019;6;22;30;invierno;no habil
60,72;9,25;2019;6;23;30;invierno;no habil
52,56;9;2019;7;0;1;invierno;habil
42,48;8,25;2019;7;1;1;invierno;habil
37,104;8,1;2019;7;2;1;invierno;habil
35,232;8;2019;7;3;1;invierno;habil
34,368;8;2019;7;4;1;invierno;habil
37,248;7,05;2019;7;5;1;invierno;habil
41,952;6,35;2019;7;6;1;invierno;habil
39,6;5,95;2019;7;7;1;invierno;habil
35,856;5,05;2019;7;8;1;invierno;habil
30,864;4,6;2019;7;9;1;invierno;habil
29,616;6,8;2019;7;10;1;invierno;habil
26,592;8,7;2019;7;11;1;invierno;habil
27,072;10;2019;7;12;1;invierno;habil
21,408;10,75;2019;7;13;1;invierno;habil
25,488;11,7;2019;7;14;1;invierno;habil
25,68;12,65;2019;7;15;1;invierno;habil
21,12;13,55;2019;7;16;1;invierno;habil
24;14,25;2019;7;17;1;invierno;habil
32,16;14,1;2019;7;18;1;invierno;habil
42,672;12,95;2019;7;19;1;invierno;habil
47,616;12;2019;7;20;1;invierno;habil
53,424;10,75;2019;7;21;1;invierno;habil
54,624;10;2019;7;22;1;invierno;habil
57,552;9,45;2019;7;23;1;invierno;habil
48,912;9,2;2019;7;0;2;invierno;habil
45,12;10,1;2019;7;1;2;invierno;habil
36,528;8,15;2019;7;2;2;invierno;habil
35,808;5,85;2019;7;3;2;invierno;habil
34,368;5,25;2019;7;4;2;invierno;habil
34,56;5,55;2019;7;5;2;invierno;habil
42,72;4,55;2019;7;6;2;invierno;habil
38,88;4,7;2019;7;7;2;invierno;habil
33,168;4,5;2019;7;8;2;invierno;habil
26,64;4,45;2019;7;9;2;invierno;habil
23,712;3,95;2019;7;10;2;invierno;habil
27,312;5,1;2019;7;11;2;invierno;habil
31,104;8,2;2019;7;12;2;invierno;habil
33,648;10,1;2019;7;13;2;invierno;habil
30,912;11,7;2019;7;14;2;invierno;habil
30,96;13,1;2019;7;15;2;invierno;habil
34,944;14,85;2019;7;16;2;invierno;habil
32,832;15,4;2019;7;17;2;invierno;habil
33,12;14,3;2019;7;18;2;invierno;habil
46,752;13,05;2019;7;19;2;invierno;habil
49,584;11,9;2019;7;20;2;invierno;habil
57,024;11,5;2019;7;21;2;invierno;habil
60;11,1;2019;7;22;2;invierno;habil
58,512;11,5;2019;7;23;2;invierno;habil
52,56;10,65;2019;7;0;3;invierno;habil
44,496;10,3;2019;7;1;3;invierno;habil
41,184;8,9;2019;7;2;3;invierno;habil
38,496;7,45;2019;7;3;3;invierno;habil
35,856;7,2;2019;7;4;3;invierno;habil
36,672;6,8;2019;7;5;3;invierno;habil
40,368;5,75;2019;7;6;3;invierno;habil
40,416;5;2019;7;7;3;invierno;habil
38,064;4,9;2019;7;8;3;invierno;habil
33,12;4,75;2019;7;9;3;invierno;habil
30,384;5,4;2019;7;10;3;invierno;habil
30,336;6,3;2019;7;11;3;invierno;habil
31,632;8,15;2019;7;12;3;invierno;habil
30,672;9,45;2019;7;13;3;invierno;habil
32,16;10,4;2019;7;14;3;invierno;habil
28,992;11,25;2019;7;15;3;invierno;habil
27,744;11,95;2019;7;16;3;invierno;habil
28,8;12,2;2019;7;17;3;invierno;habil
34,224;12,2;2019;7;18;3;invierno;habil
44,88;11,45;2019;7;19;3;invierno;habil
47,328;10,5;2019;7;20;3;invierno;habil
53,712;9,6;2019;7;21;3;invierno;habil
61,392;9,45;2019;7;22;3;invierno;habil
60,672;8,9;2019;7;23;3;invierno;habil
60,336;7,8;2019;7;0;4;invierno;habil
43,776;6,3;2019;7;1;4;invierno;habil
35,472;6,45;2019;7;2;4;invierno;habil
35,328;5,6;2019;7;3;4;invierno;habil
35,856;5,2;2019;7;4;4;invierno;habil
36,432;5,1;2019;7;5;4;invierno;habil
39,648;4,65;2019;7;6;4;invierno;habil
40,704;4,85;2019;7;7;4;invierno;habil
36,864;4,65;2019;7;8;4;invierno;habil
32,784;4,25;2019;7;9;4;invierno;habil
33,6;4,25;2019;7;10;4;invierno;habil
35,52;4,35;2019;7;11;4;invierno;habil
32,832;5,7;2019;7;12;4;invierno;habil
33,456;6,8;2019;7;13;4;invierno;habil
37,104;7,45;2019;7;14;4;invierno;habil
36,912;7,65;2019;7;15;4;invierno;habil
35,952;7,95;2019;7;16;4;invierno;habil
34,848;8,1;2019;7;17;4;invierno;habil
46,512;7,8;2019;7;18;4;invierno;habil
49,008;7,5;2019;7;19;4;invierno;habil
50,784;7,15;2019;7;20;4;invierno;habil
54,096;6,75;2019;7;21;4;invierno;habil
58,368;6,45;2019;7;22;4;invierno;habil
59,328;5,9;2019;7;23;4;invierno;habil
55,44;5,25;2019;7;0;5;invierno;habil
48,624;4,6;2019;7;1;5;invierno;habil
40,32;3,95;2019;7;2;5;invierno;habil
39,12;3,35;2019;7;3;5;invierno;habil
38,448;3;2019;7;4;5;invierno;habil
39,552;2,95;2019;7;5;5;invierno;habil
39,6;2,45;2019;7;6;5;invierno;habil
41,376;2,1;2019;7;7;5;invierno;habil
40,608;1,7;2019;7;8;5;invierno;habil
30,72;1,65;2019;7;9;5;invierno;habil
34,656;2,7;2019;7;10;5;invierno;habil
30,48;3,8;2019;7;11;5;invierno;habil
32,208;5,3;2019;7;12;5;invierno;habil
31,344;6,75;2019;7;13;5;invierno;habil
30,912;8;2019;7;14;5;invierno;habil
29,76;9,45;2019;7;15;5;invierno;habil
27,456;10,35;2019;7;16;5;invierno;habil
32,112;10,9;2019;7;17;5;invierno;habil
42,816;11,1;2019;7;18;5;invierno;habil
47,424;10,4;2019;7;19;5;invierno;habil
48,192;9,5;2019;7;20;5;invierno;habil
57,072;8,65;2019;7;21;5;invierno;habil
60,096;7,6;2019;7;22;5;invierno;habil
56,16;7,05;2019;7;23;5;invierno;habil
52,464;6,35;2019;7;0;6;invierno;no habil
51,312;6,4;2019;7;1;6;invierno;no habil
48,048;6,35;2019;7;2;6;invierno;no habil
46,032;6,6;2019;7;3;6;invierno;no habil
43,392;5,7;2019;7;4;6;invierno;no habil
40,944;5,05;2019;7;5;6;invierno;no habil
41,184;5,25;2019;7;6;6;invierno;no habil
41,856;5,35;2019;7;7;6;invierno;no habil
39,504;4,6;2019;7;8;6;invierno;no habil
31,152;2,9;2019;7;9;6;invierno;no habil
35,904;1,45;2019;7;10;6;invierno;no habil
35,52;3,9;2019;7;11;6;invierno;no habil
36,432;6,7;2019;7;12;6;invierno;no habil
36,384;8,8;2019;7;13;6;invierno;no habil
35,952;10,55;2019;7;14;6;invierno;no habil
38,688;11,75;2019;7;15;6;invierno;no habil
36,96;11,95;2019;7;16;6;invierno;no habil
33,504;11,8;2019;7;17;6;invierno;no habil
42,432;11,3;2019;7;18;6;invierno;no habil
46,464;10,75;2019;7;19;6;invierno;no habil
57,36;10;2019;7;20;6;invierno;no habil
55,872;9,45;2019;7;21;6;invierno;no habil
54,048;8,55;2019;7;22;6;invierno;no habil
55,92;7,6;2019;7;23;6;invierno;no habil
52,656;7,25;2019;7;0;7;invierno;no habil
41,568;6,75;2019;7;1;7;invierno;no habil
42,384;6,5;2019;7;2;7;invierno;no habil
39,792;6,5;2019;7;3;7;invierno;no habil
39,408;5,9;2019;7;4;7;invierno;no habil
38,688;5,3;2019;7;5;7;invierno;no habil
35,52;4,8;2019;7;6;7;invierno;no habil
36;4,4;2019;7;7;7;invierno;no habil
34,464;4,1;2019;7;8;7;invierno;no habil
29,904;3,8;2019;7;9;7;invierno;no habil
34,224;4,1;2019;7;10;7;invierno;no habil
44,304;5,7;2019;7;11;7;invierno;no habil
31,344;7,8;2019;7;12;7;invierno;no habil
29,232;9,1;2019;7;13;7;invierno;no habil
31,152;10,15;2019;7;14;7;invierno;no habil
29,328;11,05;2019;7;15;7;invierno;no habil
26,784;11,8;2019;7;16;7;invierno;no habil
29,472;11,45;2019;7;17;7;invierno;no habil
37,68;11,25;2019;7;18;7;invierno;no habil
45,312;10,8;2019;7;19;7;invierno;no habil
49,776;9,95;2019;7;20;7;invierno;no habil
53,232;9,35;2019;7;21;7;invierno;no habil
55,488;8,75;2019;7;22;7;invierno;no habil
56,352;8,65;2019;7;23;7;invierno;no habil
47,712;8,6;2019;7;0;8;invierno;no habil
46,656;8,6;2019;7;1;8;invierno;no habil
41,136;8,15;2019;7;2;8;invierno;no habil
40,32;7,3;2019;7;3;8;invierno;no habil
36,624;6,4;2019;7;4;8;invierno;no habil
35,136;6,6;2019;7;5;8;invierno;no habil
36,048;7,3;2019;7;6;8;invierno;no habil
39,312;7,1;2019;7;7;8;invierno;no habil
36,288;5,8;2019;7;8;8;invierno;no habil
30,096;4,4;2019;7;9;8;invierno;no habil
31,248;4,95;2019;7;10;8;invierno;no habil
32,304;7,1;2019;7;11;8;invierno;no habil
38,112;8,95;2019;7;12;8;invierno;no habil
36,864;10,75;2019;7;13;8;invierno;no habil
33,6;12,15;2019;7;14;8;invierno;no habil
31,728;13,35;2019;7;15;8;invierno;no habil
32,304;14,15;2019;7;16;8;invierno;no habil
35,712;14,1;2019;7;17;8;invierno;no habil
45,456;13,5;2019;7;18;8;invierno;no habil
48,96;12,7;2019;7;19;8;invierno;no habil
47,088;11,55;2019;7;20;8;invierno;no habil
48,336;10,7;2019;7;21;8;invierno;no habil
52,368;10;2019;7;22;8;invierno;no habil
47,76;9,65;2019;7;23;8;invierno;no habil
46,128;9,6;2019;7;0;9;invierno;no habil
39,936;9,3;2019;7;1;9;invierno;no habil
40,512;9,15;2019;7;2;9;invierno;no habil
39,312;8;2019;7;3;9;invierno;no habil
36,528;6,7;2019;7;4;9;invierno;no habil
35,28;6,75;2019;7;5;9;invierno;no habil
34,512;6,25;2019;7;6;9;invierno;no habil
32,88;6,15;2019;7;7;9;invierno;no habil
33,072;6;2019;7;8;9;invierno;no habil
30,096;5,45;2019;7;9;9;invierno;no habil
32,544;6,4;2019;7;10;9;invierno;no habil
32,208;8,05;2019;7;11;9;invierno;no habil
30,192;10;2019;7;12;9;invierno;no habil
29,952;10,9;2019;7;13;9;invierno;no habil
26,688;12,7;2019;7;14;9;invierno;no habil
24,864;14,1;2019;7;15;9;invierno;no habil
26,928;14,65;2019;7;16;9;invierno;no habil
29,232;14,8;2019;7;17;9;invierno;no habil
41,28;14,45;2019;7;18;9;invierno;no habil
50,832;13,5;2019;7;19;9;invierno;no habil
53,328;12,45;2019;7;20;9;invierno;no habil
56,592;11,25;2019;7;21;9;invierno;no habil
57,408;10,55;2019;7;22;9;invierno;no habil
54,24;10,15;2019;7;23;9;invierno;no habil
52,848;9,9;2019;7;0;10;invierno;habil
42,72;9,45;2019;7;1;10;invierno;habil
36,432;9,4;2019;7;2;10;invierno;habil
33,936;9,5;2019;7;3;10;invierno;habil
33,648;8,95;2019;7;4;10;invierno;habil
32,592;8,75;2019;7;5;10;invierno;habil
32,832;6,7;2019;7;6;10;invierno;habil
34,368;6,05;2019;7;7;10;invierno;habil
34,848;6,25;2019;7;8;10;invierno;habil
29,376;5,25;2019;7;9;10;invierno;habil
29,52;6,15;2019;7;10;10;invierno;habil
31,392;8,25;2019;7;11;10;invierno;habil
31,344;9,95;2019;7;12;10;invierno;habil
33,168;11,6;2019;7;13;10;invierno;habil
33,696;13;2019;7;14;10;invierno;habil
33,12;14,35;2019;7;15;10;invierno;habil
27,696;15,2;2019;7;16;10;invierno;habil
25,104;15,5;2019;7;17;10;invierno;habil
31,104;15,35;2019;7;18;10;invierno;habil
41,616;14,65;2019;7;19;10;invierno;habil
45,84;13,5;2019;7;20;10;invierno;habil
46,992;12,3;2019;7;21;10;invierno;habil
49,968;11,5;2019;7;22;10;invierno;habil
52,8;11,15;2019;7;23;10;invierno;habil
49,296;11,05;2019;7;0;11;invierno;habil
48,432;10,35;2019;7;1;11;invierno;habil
39,84;9,75;2019;7;2;11;invierno;habil
37,728;9;2019;7;3;11;invierno;habil
34,56;9,8;2019;7;4;11;invierno;habil
34,944;9,35;2019;7;5;11;invierno;habil
35,664;8,35;2019;7;6;11;invierno;habil
36,192;7,9;2019;7;7;11;invierno;habil
36,864;7,5;2019;7;8;11;invierno;habil
26,832;6,05;2019;7;9;11;invierno;habil
28,8;7,8;2019;7;10;11;invierno;habil
30,048;9,45;2019;7;11;11;invierno;habil
32,496;11,15;2019;7;12;11;invierno;habil
33,744;12,95;2019;7;13;11;invierno;habil
31,536;13,9;2019;7;14;11;invierno;habil
28,464;14,85;2019;7;15;11;invierno;habil
27,936;15,65;2019;7;16;11;invierno;habil
33,984;15,95;2019;7;17;11;invierno;habil
33,168;16;2019;7;18;11;invierno;habil
42,816;15,15;2019;7;19;11;invierno;habil
46,416;14,2;2019;7;20;11;invierno;habil
47,376;13,05;2019;7;21;11;invierno;habil
50,736;12,45;2019;7;22;11;invierno;habil
47,52;12,3;2019;7;23;11;invierno;habil
47,712;11,85;2019;7;0;12;invierno;habil
36,912;11,45;2019;7;1;12;invierno;habil
35,76;11,2;2019;7;2;12;invierno;habil
34,128;11,15;2019;7;3;12;invierno;habil
31,536;10,95;2019;7;4;12;invierno;habil
30,72;10,55;2019;7;5;12;invierno;habil
29,232;9,9;2019;7;6;12;invierno;habil
30;9,9;2019;7;7;12;invierno;habil
33,6;9,95;2019;7;8;12;invierno;habil
27,12;9,8;2019;7;9;12;invierno;habil
29,472;9,95;2019;7;10;12;invierno;habil
31,152;10,3;2019;7;11;12;invierno;habil
29,808;10,85;2019;7;12;12;invierno;habil
27,216;11,55;2019;7;13;12;invierno;habil
25,92;12,4;2019;7;14;12;invierno;habil
28,08;13,05;2019;7;15;12;invierno;habil
27,84;13,85;2019;7;16;12;invierno;habil
29,184;14,3;2019;7;17;12;invierno;habil
31,296;14,15;2019;7;18;12;invierno;habil
36,048;13,6;2019;7;19;12;invierno;habil
40,896;12,95;2019;7;20;12;invierno;habil
44,208;12,7;2019;7;21;12;invierno;habil
47,184;12,45;2019;7;22;12;invierno;habil
46,752;12,15;2019;7;23;12;invierno;habil
47,616;12,05;2019;7;0;13;invierno;no habil
37,104;11,8;2019;7;1;13;invierno;no habil
32,688;11,5;2019;7;2;13;invierno;no habil
30,288;11,4;2019;7;3;13;invierno;no habil
28,464;11,05;2019;7;4;13;invierno;no habil
30,192;10,55;2019;7;5;13;invierno;no habil
30,48;9,7;2019;7;6;13;invierno;no habil
31,584;8,55;2019;7;7;13;invierno;no habil
31,536;7,65;2019;7;8;13;invierno;no habil
26,208;7,55;2019;7;9;13;invierno;no habil
28,368;8,25;2019;7;10;13;invierno;no habil
30,768;10,7;2019;7;11;13;invierno;no habil
28,128;11,9;2019;7;12;13;invierno;no habil
28,704;12,95;2019;7;13;13;invierno;no habil
30,432;13,95;2019;7;14;13;invierno;no habil
28,272;14,8;2019;7;15;13;invierno;no habil
24,672;15,6;2019;7;16;13;invierno;no habil
29,136;15,7;2019;7;17;13;invierno;no habil
34,464;15,5;2019;7;18;13;invierno;no habil
43,68;14,85;2019;7;19;13;invierno;no habil
42,672;14,2;2019;7;20;13;invierno;no habil
45,168;13,65;2019;7;21;13;invierno;no habil
43,536;13;2019;7;22;13;invierno;no habil
49,008;12,25;2019;7;23;13;invierno;no habil
49,248;11,3;2019;7;0;14;invierno;no habil
42,432;11,1;2019;7;1;14;invierno;no habil
36,624;10,7;2019;7;2;14;invierno;no habil
33,792;10,4;2019;7;3;14;invierno;no habil
30,48;10;2019;7;4;14;invierno;no habil
31,44;9,65;2019;7;5;14;invierno;no habil
30,48;9,35;2019;7;6;14;invierno;no habil
28,656;8,95;2019;7;7;14;invierno;no habil
29,856;8,55;2019;7;8;14;invierno;no habil
20,256;8,95;2019;7;9;14;invierno;no habil
28,512;10,7;2019;7;10;14;invierno;no habil
28,416;12,55;2019;7;11;14;invierno;no habil
27,168;14,2;2019;7;12;14;invierno;no habil
26,928;14,75;2019;7;13;14;invierno;no habil
24,912;15,75;2019;7;14;14;invierno;no habil
22,416;16,5;2019;7;15;14;invierno;no habil
24,096;17,15;2019;7;16;14;invierno;no habil
21,648;17,1;2019;7;17;14;invierno;no habil
24,96;16,65;2019;7;18;14;invierno;no habil
41,472;15,6;2019;7;19;14;invierno;no habil
43,44;14,55;2019;7;20;14;invierno;no habil
45,936;13,5;2019;7;21;14;invierno;no habil
40,992;13,6;2019;7;22;14;invierno;no habil
39,936;13,25;2019;7;23;14;invierno;no habil
38,736;11,7;2019;7;0;15;invierno;habil
41,856;10,7;2019;7;1;15;invierno;habil
36;10,55;2019;7;2;15;invierno;habil
33,744;9,65;2019;7;3;15;invierno;habil
31,44;9,1;2019;7;4;15;invierno;habil
30,912;8,9;2019;7;5;15;invierno;habil
31,296;8,85;2019;7;6;15;invierno;habil
32,928;8,8;2019;7;7;15;invierno;habil
35,136;8,85;2019;7;8;15;invierno;habil
28,368;8,6;2019;7;9;15;invierno;habil
26,064;8,5;2019;7;10;15;invierno;habil
27,312;9,35;2019;7;11;15;invierno;habil
27,408;10,4;2019;7;12;15;invierno;habil
30,048;11,75;2019;7;13;15;invierno;habil
29,28;12,55;2019;7;14;15;invierno;habil
29,04;13,5;2019;7;15;15;invierno;habil
27,696;14,25;2019;7;16;15;invierno;habil
28,896;14,75;2019;7;17;15;invierno;habil
28,944;14,85;2019;7;18;15;invierno;habil
43,632;14,35;2019;7;19;15;invierno;habil
44,304;13,4;2019;7;20;15;invierno;habil
47,472;12,2;2019;7;21;15;invierno;habil
47,424;11,5;2019;7;22;15;invierno;habil
50,976;11,1;2019;7;23;15;invierno;habil
50,256;11;2019;7;0;16;invierno;habil
38,592;10,8;2019;7;1;16;invierno;habil
36,576;10,8;2019;7;2;16;invierno;habil
33,12;9,05;2019;7;3;16;invierno;habil
31,392;9,25;2019;7;4;16;invierno;habil
33,504;9;2019;7;5;16;invierno;habil
32,88;9,35;2019;7;6;16;invierno;habil
33,936;8,95;2019;7;7;16;invierno;habil
30,24;8,75;2019;7;8;16;invierno;habil
